Year,Mo,Dy,Tsu,Eq,Name,Location,Country,latitude,longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,date
2019,5,2,5930,,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3436,Stratovolcano,,W,,,,,,,,,,,,,,,,,,,,,5/2/2019
2019,5,7,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,4,T,,,,,,,,2,,,,,,,,,,2,,,5/7/2019
2019,6,26,,,Ulawun,New Britain-SW Pac,Papua New Guinea,-5.05,151.33,2334,Stratovolcano,4,"P,T",,,,,2,1,14,3,,,,,,,2,1,14,3,,,6/26/2019
2019,6,28,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,"A,P,T",,,,,,,,2,,,,,,,,,,2,,,6/28/2019
2019,7,3,5913,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,"P,T,W",1,1,,,1,1,,,,,1,1,,,1,1,,,,,7/3/2019
2019,8,28,5716,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,W,,,,,,,,,,,,,,,,,,,,,8/28/2019
2019,12,9,,,Whakaari/White Island,New Zealand,New Zealand,-37.52,177.18,294,Stratovolcano,2,T,22,1,,,25,1,,,,,22,1,,,25,1,,,,,12/9/2019
2020,1,12,,,Taal,Luzon-Philippines,Philippines,14.011,120.998,311,Stratovolcano,4,T,39,1,,,,,67,4,4573,4,39,1,,,,,67,4,4573,4,1/12/2020
2020,5,29,5748,10501,Ijen,Java,Indonesia,-8.058,114.242,2769,Stratovolcano,,"G,W, S",1,1,,,,,,,,,1,1,,,,,,,,,5/29/2020
2021,3,5,,,Sangay,Ecuador,Ecuador,-2.005,-78.341,5286,Stratovolcano,2,T,,,,,,,,2,,,,,,,,,,2,,,3/5/2021
2021,3,1,,,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,1,"L,T",,,,,,,,1,,,,,,,,,,1,,,3/1/2021
2021,4,9,5905,,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18,1220,Stratovolcano,4,"T,W",,,,,,,325,4,,,,,,,,,325,4,,,4/9/2021
2021,5,19,5912,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,W,,,,,,,,,,,,,,,,,,,,,5/19/2021
2021,5,22,,10545,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,2,"L,I,S",32,1,,,,,,3,5000,4,32,1,,,,,,3,5000,4,5/22/2021
2021,9,19,,,La Palma,Canary Is,Spain,28.57,-17.83,2426,Stratovolcano,3,L,1,1,,,,,924,4,1345,4,1,1,,,,,924,4,1345,4,9/19/2021
2021,12,4,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,4,T,51,1,9,1,169,3,20,3,2970,4,45,1,9,1,169,3,20,3,2970,4,12/4/2021
2022,1,15,5824,,Hunga Tonga-Hunga Ha'apai,Tonga-SW Pacific,Tonga,-20.553,-175.384,114,Submarine volcano,5,W,,,,,,,16.72,3,,,6,1,,,20,1,135.368,4,284,3,1/15/2022
2022,6,22,,,Popocatepetl,Mexico,Mexico,19.023,-98.622,5393,Stratovolcano,2,P,1,1,,,,,,,,,1,1,,,,,,,,,6/22/2022
2022,10,9,5865,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,"P,W",,,,,,,,,,,,,,,,,,,,,10/9/2022
2022,12,4,5868,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,"P,W",,,,,,,,,,,,,,,,,,,,,12/4/2022
2022,12,4,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,4,"T,M",,,,,,,,1,,,,,,,,,,1,,,12/4/2022
2023,1,31,5906,,East Epi,Vanuatu-SW Pacific,Vanuatu,-16.68,168.389,833,Stratovolcano,,W,,,,,,,,,,,,,,,,,,,,,1/31/2023
2023,7,7,,,Bagana,Bougainville-SW Paci,Papua New Guinea,-6.137,155.196,1855,Lava cone,2,"T,G",,,,,,,,1,,1,,,,,,,,1,,1,7/7/2023
2023,12,3,,,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,Complex volcano,,"P,T",23,1,0,,12,1,,,,,23,1,0,,12,1,,,,,12/3/2023
2023,12,18,,,Reykjanes,Iceland-SW,Iceland,63.817,-22.717,140,Crater rows,,"S,L",1,1,,,,,,2,3,1,1,1,,,,,,2,3,1,12/18/2023
2024,4,16,,,Ruang,Sangihe Is-Indonesia,Indonesia,2.3,125.37,725,Stratovolcano,,,,,,,,,15.5,3,3200,4,,,,,,,15.5,3,3200,4,4/16/2024
2024,4,20,,,Ijen,Java,Indonesia,-8.058,114.242,2769,Stratovolcano,,,1,1,,,,,,,,,1,1,,,,,,,,,4/20/2024
2024,5,11,,,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,Complex volcano,2,M,67,2,20,1,33,1,,3,521,3,67,2,20,1,33,1,,3,521,3,5/11/2024
2024,6,3,,,Kanlaon,Philippines-C,Philippines,10.41,123.13,2422,Stratovolcano,3,"M,G,T",,,,,,,2.5,2,2680,4,,,,,,,2.5,2,2680,4,6/3/2024
2024,8,17,5923,10744,Sheveluch,Kamchatka,Russia,56.653,161.36,3283,Stratovolcano,4,,,,,,,,,,,,,,,,,,,,,,8/17/2024
2024,11,3,,,Lewotobi,Lesser Sunda Is,Indonesia,-8.542,122.775,1703,Stratovolcano,,"T,P,L",9,1,,,64,,,,23,1,9,1,,,64,2,,,23,1,11/3/2024
2024,12,9,,,Kanlaon,Philippines-C,Philippines,10.41,123.13,2422,Stratovolcano,,"T,P",1,1,,,,,2.2,2,,,1,1,,,,,2.2,2,,,12/9/2024
