Year,Mo,Dy,Tsu,Eq,Name,Location,Country,latitude,longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,date
1999,10,16,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,3,T,1,1,,,4,1,,,,,1,1,,,4,1,,,,,10/16/1999
2000,6,27,2340,5568,Miyakejima,Izu Is-Japan,Japan,34.094,139.526,775,Stratovolcano,2,,,,,,,,,1,,,1,1,,,,3,,1,,,6/27/2000
2000,7,27,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T,2,1,,,,,,,,,2,1,,,,,,,,,7/27/2000
2000,8,23,,,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1670,Stratovolcano,3,P,2,1,,,1,1,,,,,2,1,,,1,1,,,,,8/23/2000
2000,11,3,,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,G,2,1,,,,,,,,,2,1,,,,,,,,,11/3/2000
2000,11,1,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,A,1,1,,,,,,,,,1,1,,,,,,,,,11/1/2000
2001,5,14,,,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,3,,1,1,,,,,,1,,,1,1,,,,,,1,,,5/14/2001
2001,7,26,,,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,2,,,,,,,,,1,,1,,,,,,,,1,,1,7/26/2001
2001,8,5,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,P,2,1,,,,,,,,,2,1,,,,,,,,,8/5/2001
2001,10,20,,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,T,1,1,,,,,,,,,1,1,,,,,,,,,10/20/2001
2002,1,3,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,3,M,,,,,,,,1,,1,,,,,,,,1,,1,1/3/2002
2002,1,17,,,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,1,L,100,2,,,400,3,,3,,3,100,2,,,,3,,3,,3,1/17/2002
2002,8,28,,5659,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,3,,,,,,32,1,,2,,2,,,,,32,1,,2,,2,8/28/2002
2002,11,3,,,Reventador,Ecuador,Ecuador,-0.077,-77.656,3562,Stratovolcano,4,I,,1,,,,1,,1,,1,,1,,,,1,,1,,1,11/3/2002
2002,12,30,2923,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,,,,,,,,1,,1,,1,,,,,,1,,1,,1,12/30/2002
2002,1,1,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T,3,1,,,,,,,,,3,1,,,,,,,,,1/1/2002
2003,7,12,2694,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,,,,,,,,,,,,,,,,,,,,,,7/12/2003
